country,st62q02,N,WTD_N,PCT,SE(PCT),MEAN,SE(MEAN)
Albania,Never heard of it,102,899.1795999999999,3.621636767561719,0.4311498846488691,385.8501947573076,11.093428830717874
Albania,Heard of it once or twice,171,1555.3325,6.264431897458181,0.560064798646812,403.19799919918074,10.235801622085921
Albania,Heard of it a few times,285,2480.9517,9.992559768109457,0.7415802878889903,392.1887220048429,5.74847702760926
Albania,Heard of it often,570,5248.2725,21.138531893053475,0.9876626324679987,392.2488477465665,4.703041875233435
Albania,"Know it well, understand the concept",1635,14644.2533,58.98283967381717,1.2297993061137298,391.9042015565463,3.290415163830806
Argentina,Never heard of it,206,20692.2862,6.137873580325948,0.36795970150653984,351.882944039374,8.359390802754744
Argentina,Heard of it once or twice,459,46904.697199999995,13.913160631669037,0.9189964339664387,351.00231284912576,3.7224246203197997
Argentina,Heard of it a few times,467,47699.064399999996,14.14879073086791,0.7232377190284254,378.0182076711784,5.2547297855669655
Argentina,Heard of it often,695,64156.77419999999,19.030578136944452,0.6285127064993684,392.4470816581713,4.227632045224299
Argentina,"Know it well, understand the concept",1839,157671.85039999997,46.76959692019266,1.4789751291882614,420.417652974716,3.364391740840518
Australia,Never heard of it,3130,53804.739799999996,33.13168083631548,0.5553436596758922,481.3733795420464,2.371780627204484
Australia,Heard of it once or twice,2090,36541.75429999999,22.501544383765587,0.5081138423018032,498.36408857676616,2.561302028436405
Australia,Heard of it a few times,1870,33011.9261,20.327960016214647,0.4843230608885518,511.65863504471366,2.5771492036882306
Australia,Heard of it often,1149,20266.1723,12.479427554398798,0.3579866334471167,531.8939624622175,3.149749031457027
Australia,"Know it well, understand the concept",1028,18772.057599999996,11.559387209305495,0.47738884601854786,575.349824938215,4.688032751370927
Austria,Never heard of it,194,3253.3988999999997,6.254272407789249,0.6027118889798537,469.66972169926987,7.6960290565343765
Austria,Heard of it once or twice,222,3847.7502999999997,7.3968422788096495,0.633643966584994,472.95011021063425,6.888754640247218
Austria,Heard of it a few times,400,6776.9971,13.027970830812588,0.5506021506091043,488.0847175306346,5.575164189226452
Austria,Heard of it often,652,11290.690399999998,21.705009316137332,0.7293919834884677,495.53859505741303,4.198252014543727
Austria,"Know it well, understand the concept",1579,26849.986399999998,51.615905166451185,1.1489364403295905,530.2968380651962,3.331353829761345
Belgium,Never heard of it,181,2406.2185999999997,3.2398412262790695,0.2745380082412901,414.1536901055932,7.734387007069161
Belgium,Heard of it once or twice,203,2811.8075,3.7859444103959152,0.30545787017476,430.97473611152094,6.832531769795023
Belgium,Heard of it a few times,338,4562.2155999999995,6.142772807114657,0.3630692585285941,466.7943859426019,5.304794673934879
Belgium,Heard of it often,863,11450.539899999998,15.417523258765186,0.517411705688492,491.63437384120715,3.4206833090009328
Belgium,"Know it well, understand the concept",3871,53038.86409999999,71.41391829744516,0.736037995712351,543.9756739442332,2.248281156301148
Brazil,Never heard of it,824,103589.47669999998,7.179842307096545,0.32162551929688077,343.39143689862925,3.2969068821432685
Brazil,Heard of it once or twice,1769,207621.43439999997,14.3903532101267,0.5863306156353152,347.55547368940876,2.467640302434022
Brazil,Heard of it a few times,1941,234247.60659999997,16.23582751627886,0.4406934690617133,373.02922631930886,2.6871270459733934
Brazil,Heard of it often,3521,427109.5033999999,29.603189242429252,0.6328112029684138,397.9728936745502,2.332251037712166
Brazil,"Know it well, understand the concept",3621,470214.0382999999,32.59078772406865,0.6984019422178311,432.0965960822568,3.0414709767988826
Bulgaria,Never heard of it,204,2234.0324,6.598798330763354,0.556255869912649,380.89429282714786,5.960698102323244
Bulgaria,Heard of it once or twice,322,3450.5278,10.192035302125676,0.7288415468185563,374.0460068927567,5.905604588165263
Bulgaria,Heard of it a few times,284,2966.1730000000002,8.761366863414931,0.5271286433565977,394.69884696846464,5.351590685363036
Bulgaria,Heard of it often,551,5597.349,16.53323256990361,0.7393011841347562,415.91367757232405,4.08965894463596
Bulgaria,"Know it well, understand the concept",1947,19607.0576,57.914566933792436,1.502820440799299,479.38813508769607,4.188949157903867
Canada,Never heard of it,1772,29752.841099999998,13.27048593936982,0.424366054875703,477.4897844078165,3.858901825703466
Canada,Heard of it once or twice,1729,29652.8657,13.225894495630927,0.439888426058713,491.06136638765355,3.5764355011743114
Canada,Heard of it a few times,2516,40272.701199999996,17.96259769676389,0.437458082733633,505.92306466729195,2.9825767532204277
Canada,Heard of it often,3053,46304.322799999994,20.652846650313382,0.5424080206157563,519.6098362976064,2.6575706477865872
Canada,"Know it well, understand the concept",4810,78220.37099999998,34.88817521792198,0.6292797237198082,556.2411337700112,2.3249796974541925
Chile,Never heard of it,88,3479.6609,2.3463639320913123,0.29807505347576746,359.2247442575027,9.3417740028815075
Chile,Heard of it once or twice,189,8378.8982,5.6499598932599495,0.4919616548738342,344.16337425697577,6.033357987762965
Chile,Heard of it a few times,343,13532.212999999998,9.124882400057192,0.60219524545796,372.0421495804602,4.844869562759662
Chile,Heard of it often,1160,43885.539,29.59237949019304,0.8592647739312947,402.29928989708253,3.269188483118428
Chile,"Know it well, understand the concept",2657,79023.82479999999,53.2864142843985,1.3082257080513082,454.0183696525462,3.0718638825016997
Shanghai-China,Never heard of it,158,2672.6861999999996,4.741595529533876,0.29499148138442804,617.3295738444052,8.337723231704755
Shanghai-China,Heard of it once or twice,130,2099.6712999999995,3.7250134525970835,0.2919657103146575,576.5222959486293,10.326396297867168
Shanghai-China,Heard of it a few times,314,5177.777999999999,9.185862903665551,0.49895518835040475,587.4817408032415,7.064052078468213
Shanghai-China,Heard of it often,530,8725.505099999998,15.479862909115566,0.7644987240326923,567.8850204247655,6.128292576223006
Shanghai-China,"Know it well, understand the concept",2302,37691.1706,66.86766520508792,0.8499127556355796,629.25590864318,3.266109326906113
Chinese Taipei,Never heard of it,104,4962.5957,2.563439472731543,0.27753262121880706,503.85611785439806,18.513769660037934
Chinese Taipei,Heard of it once or twice,195,9504.9492,4.909801934013705,0.35109899707483916,491.97499165680387,10.69046039824254
Chinese Taipei,Heard of it a few times,412,20118.2106,10.392104916539168,0.5949919563501892,502.7473603868876,7.489579864401076
Chinese Taipei,Heard of it often,1057,50671.0629,26.17424642574104,0.764577258933818,526.1117022915836,4.677976669929397
Chinese Taipei,"Know it well, understand the concept",2234,108334.47769999999,55.96040725097454,1.0245820752450836,596.2499760991415,3.355959897916776
Colombia,Never heard of it,165,10208.753099999998,3.045455015685105,0.3339712359407002,333.98225459774545,6.880263342093532
Colombia,Heard of it once or twice,507,34091.5323,10.17011842860866,0.5576725600123099,336.11881192244067,4.344815234397123
Colombia,Heard of it a few times,756,44690.777899999994,13.332064393880195,0.6750782881881471,355.5584055600498,3.5327379292466605
Colombia,Heard of it often,1704,104769.62759999999,31.254667905121604,0.9748564668513328,378.3230994184278,3.297915164156346
Colombia,"Know it well, understand the concept",2386,141452.0457,42.19769425670445,1.0031294378059215,410.24564658020046,3.827918480360174
Costa Rica,Never heard of it,145,1393.4639,5.60903808949096,0.5369904004843497,377.00801657865406,7.135568865889626
