country,st25q01,st62q11,N,WTD_N,PCT,SE(PCT),MEAN,SE(MEAN)
Albania,Language of the test,Never heard of it,1011,8978.8588,38.16704636085751,0.9712003285894897,395.2798317473864,3.53342135999409
Albania,Language of the test,Heard of it,1630,14546.3014,61.832953639142495,0.9712003285894925,393.4924397065273,3.5409095678790354
Albania,Other language,Never heard of it,12,137.32129999999998,18.690577639818336,4.605385904732689,343.4674759732684,39.7885056260664
Albania,Other language,Heard of it,52,597.3874,81.30942236018166,4.605385904732691,390.87234269640766,17.092230281270506
Argentina,Language of the test,Never heard of it,2004,184109.2957,58.33315105804101,1.1461153789243885,392.1447152185599,3.211772483963727
Argentina,Language of the test,Heard of it,1430,131507.626,41.666848941959,1.14611537892439,404.6629279735992,4.293619298095993
Argentina,Other language,Never heard of it,21,1833.4640999999997,52.339032485690836,10.195144242178817,340.21886762608995,13.984754210413575
Argentina,Other language,Heard of it,22,1669.5889999999997,47.660967514309164,10.195144242178817,389.9773163306598,19.506293089236507
Australia,Language of the test,Never heard of it,5184,90943.146,64.56755840508178,0.665752058287797,509.1743096122177,2.0020778479955283
Australia,Language of the test,Heard of it,2903,49906.45129999999,35.43244159491821,0.6657520582877972,509.90021986678306,2.315518406316703
Australia,Other language,Never heard of it,470,9258.3221,58.527351845467635,1.6556140705162186,523.889339096615,7.223875168195331
Australia,Other language,Heard of it,342,6560.473399999999,41.47264815453237,1.6556140705162221,521.4881951185545,7.938098326372399
Austria,Language of the test,Never heard of it,1835,31018.834399999996,72.81243587740327,0.9854438482036366,525.3240221154167,2.855736525080448
Austria,Language of the test,Heard of it,684,11582.177399999999,27.18756412259673,0.9854438482036366,508.0714485665031,4.856505564262748
Austria,Other language,Never heard of it,210,3825.0761999999995,69.94526092354066,3.285135603296795,463.68845774508236,8.192975694852473
Austria,Other language,Heard of it,96,1643.5947999999999,30.05473907645935,3.2851356032967933,474.9429676609622,9.630263931229019
Belgium,Language of the test,Never heard of it,2552,34772.5954,63.771209645976725,0.7848496268336818,539.7692478887406,2.3888004538738943
Belgium,Language of the test,Heard of it,1394,19754.5111,36.22879035402328,0.7848496268336823,523.8334357598126,2.724876826098262
Belgium,Other language,Never heard of it,693,8706.3992,60.3179438479547,1.6196134017488988,504.25435431790385,4.813461820442219
Belgium,Other language,Heard of it,431,5727.778499999999,39.68205615204529,1.6196134017489014,497.0762595029696,6.439965036538901
Brazil,Language of the test,Never heard of it,4536,574371.1303999999,41.44304033809203,0.7157364972497001,392.13296106227455,2.37912172793626
Brazil,Language of the test,Heard of it,6599,811557.9078999999,58.55695966190797,0.7157364972496981,396.9271022248591,2.284998621702846
Brazil,Other language,Never heard of it,39,4442.522899999999,28.638997469937316,4.456135602142684,357.0680343363466,17.742524180141245
Brazil,Other language,Heard of it,85,11069.622399999998,71.36100253006269,4.456135602142681,398.9157778117584,11.312171057691485
Bulgaria,Language of the test,Never heard of it,1420,14245.2443,47.39950810302905,1.2565088280627785,469.0102495171855,4.403110732918609
Bulgaria,Language of the test,Heard of it,1548,15808.3256,52.600491896970944,1.256508828062779,437.91889867869537,4.059857287570981
Bulgaria,Other language,Never heard of it,116,1305.5465,37.86703722349454,2.9435639826698154,394.0589436697183,9.433911593637534
Bulgaria,Other language,Heard of it,190,2142.1658,62.13296277650545,2.943563982669811,369.70148649321976,9.384988245256912
Canada,Language of the test,Never heard of it,6570,108891.46489999999,61.166577505132494,0.6698973672394437,526.9362282997282,2.3426509440206646
Canada,Language of the test,Heard of it,4516,69132.9879,38.83342249486751,0.6698973672394449,515.7834525358545,2.064398939555564
Canada,Other language,Never heard of it,1149,19430.9711,51.93767425982998,1.3945349610769335,529.8405248628561,5.574721296803327
Canada,Other language,Heard of it,1160,17981.122099999997,48.062325740170024,1.3945349610769333,520.3226834077103,4.800031872677137
Chile,Language of the test,Never heard of it,2001,67835.55489999999,46.79981760231613,0.9427038155221692,420.8974569144648,3.7818592629640793
Chile,Language of the test,Heard of it,2340,77112.7769,53.20018239768387,0.9427038155221692,426.69419463578265,3.3042271231916165
Chile,Other language,Never heard of it,14,384.91859999999997,46.64531677110762,9.917645272839378,405.0841067739205,23.248321157662005
Chile,Other language,Heard of it,17,440.2845,53.35468322889238,9.917645272839374,450.8191096100588,23.7411588348584
Shanghai-China,Language of the test,Never heard of it,2432,39818.258599999994,72.18076044930135,0.8155774357374798,613.7866057714634,3.3920366240035458
Shanghai-China,Language of the test,Heard of it,929,15346.384099999997,27.81923955069866,0.8155774357374783,620.010418336891,4.820397032390438
Shanghai-China,Other language,Never heard of it,38,608.8951,86.2786265193641,6.359964486715906,499.5407485786565,19.511250602711343
Shanghai-China,Other language,Heard of it,6,96.83599999999998,13.721373480635895,6.359964486715904,548.0655900322192,48.657385355030364
Chinese Taipei,Language of the test,Never heard of it,1871,89999.64499999999,59.08183621858923,1.0058099682489774,584.7068786560407,3.8390650142537184
Chinese Taipei,Language of the test,Heard of it,1269,62330.835499999994,40.918163781410776,1.005809968248979,561.5960337241626,4.35962266805083
Chinese Taipei,Other language,Never heard of it,339,16274.129799999999,58.365084022922744,2.1468589885452083,521.3522680509858,8.280018243955363
Chinese Taipei,Other language,Heard of it,247,11609.201599999999,41.634915977077256,2.1468589885452056,500.761566028474,8.580175323844433
Colombia,Language of the test,Never heard of it,1925,114556.93529999998,35.47369414252676,1.202534365900924,382.4935954193942,3.4665992090713678
Colombia,Language of the test,Heard of it,3414,208377.95509999996,64.52630585747326,1.2025343659009207,385.74312513871996,3.3416168132690496
Colombia,Other language,Never heard of it,7,288.67409999999995,16.433114666581357,8.908601827517664,370.4825348968403,35.663769271812455
Colombia,Other language,Heard of it,16,1467.9867999999997,83.56688533341865,8.908601827517662,358.2555112429266,17.762130952820037
Costa Rica,Language of the test,Never heard of it,1480,12861.0491,53.74808843131162,1.1777148053804578,405.0711015098754,3.6467885015440245
Costa Rica,Language of the test,Heard of it,1238,11067.3351,46.25191156868837,1.1777148053804567,416.1924945180665,3.2597795725787697
Costa Rica,Other language,Never heard of it,13,107.9999,36.83842141760517,9.715784074726546,406.3104064744132,22.003114476697377
Costa Rica,Other language,Heard of it,22,185.172,63.16157858239484,9.715784074726546,436.5539816409825,24.292373798594095
Croatia,Language of the test,Never heard of it,1911,17347.1546,59.804807975495635,0.834379284897069,479.1193815219603,4.159539570916228
Croatia,Language of the test,Heard of it,1273,11659.133,40.195192024504365,0.83437928489707,464.0959882113581,3.7589664642777643
Croatia,Other language,Never heard of it,23,201.3778,63.93098248370993,9.547877989381286,448.3423968511028,16.006704075896376
Croatia,Other language,Heard of it,12,113.6147,36.06901751629007,9.547877989381286,442.1223354870451,28.19524900745179
Czech Republic,Language of the test,Never heard of it,1972,30019.0558,61.564802466830336,1.2004951933793708,505.1238109643402,3.715782541489527
Czech Republic,Language of the test,Heard of it,1266,18741.038599999996,38.435197533169664,1.2004951933793686,513.9821492939519,3.735230135106492
Czech Republic,Other language,Never heard of it,50,623.6987999999999,43.578493633139786,7.427625399961468,484.8022691944734,19.412045258683783
Czech Republic,Other language,Heard of it,54,807.5089999999999,56.42150636686022,7.42762539996147,502.08624824665475,16.62778698123426
Denmark,Language of the test,Never heard of it,2318,23198.937899999997,60.91630995120727,1.010614741090582,512.1084942319012,2.7460579252042634
Denmark,Language of the test,Heard of it,1510,14884.356899999999,39.08369004879273,1.0106147410905792,502.791697276348,3.2837767520454415
Denmark,Other language,Never heard of it,305,1001.5575,53.41039239906296,2.6495600113529125,454.26789927136275,5.68251911173808
Denmark,Other language,Heard of it,258,873.6534,46.58960760093705,2.6495600113529116,448.3947366130778,5.739576096466201
Estonia,Language of the test,Never heard of it,1968,4777.6241,67.32227535968114,0.9353954189616823,529.6411050768106,2.672060626515465
Estonia,Language of the test,Heard of it,943,2319.0227,32.677724640318864,0.9353954189616825,512.7324265017403,3.5719113814635204
Estonia,Other language,Never heard of it,111,254.3414,59.01804665124202,4.221345355881398,506.3985450426237,8.348871471385666
Estonia,Other language,Heard of it,70,176.6139,40.98195334875798,4.221345355881398,489.72610617873204,9.11954391072807
Finland,Language of the test,Never heard of it,3773,30172.3402,82.23820980676324,0.6073512000307172,523.9274245033204,1.8453412784397316
Finland,Language of the test,Heard of it,888,6516.6152999999995,17.761790193236763,0.6073512000307172,522.9018030166611,3.9584590169972036
Finland,Other language,Never heard of it,713,1265.8481,73.47737594619278,2.108868464275917,473.84135296687,4.404865003470561
Finland,Other language,Heard of it,242,456.9245,26.52262405380722,2.1088684642759166,476.3781521081797,14.311165827912246
France,Language of the test,Never heard of it,1733,260100.60329999996,67.37365889604415,1.0588028201212956,515.2997714431248,2.8210745064512177
France,Language of the test,Heard of it,825,125956.21409999998,32.62634110395586,1.0588028201212962,489.13506088455574,3.7644918964594605
France,Other language,Never heard of it,129,19673.260499999997,58.6789761774833,3.622673483008751,473.29665593688475,10.377602389170802
France,Other language,Heard of it,88,13853.671599999998,41.321023822516715,3.6226734830087475,421.55225079394177,13.442590687328185
Germany,Language of the test,Never heard of it,1798,270391.32229999994,74.07683668347273,0.919298300284247,535.3752734717181,2.9995660442351784
Germany,Language of the test,Heard of it,614,94623.34949999998,25.92316331652727,0.9192983002842464,518.2130696098199,4.5707264648237915
Germany,Other language,Never heard of it,136,20924.404399999996,76.13523005992495,2.920307052689693,487.85450655092006,9.419009037341317
Germany,Other language,Heard of it,42,6558.804599999999,23.864769940075046,2.920307052689693,467.4722416797659,18.286367488621767
Greece,Language of the test,Never heard of it,1802,34240.53369999999,59.54118114037791,1.177956812975863,464.20096143614046,3.2658063778476114
Greece,Language of the test,Heard of it,1248,23266.779799999997,40.45881885962209,1.177956812975864,445.9951733270301,3.749328991395558
Greece,Other language,Never heard of it,70,1411.2692999999997,47.69559819837643,4.424746168595705,419.3160954591303,11.82807200389534
Greece,Other language,Heard of it,74,1547.6395999999997,52.30440180162357,4.424746168595704,392.9127877931452,14.184810781629698
Hong Kong-China,Language of the test,Never heard of it,1100,16658.9306,39.793006138517775,1.23908199982559,560.4350633373251,4.830965196826781
Hong Kong-China,Language of the test,Heard of it,1677,25205.035499999998,60.206993861482225,1.239081999825588,573.0674453373393,3.2003692792848812
Hong Kong-China,Other language,Never heard of it,97,1490.9553999999998,47.21662495476126,3.5308587337521837,519.6879635906761,13.531202248064538
