country,st62q04,N,WTD_N,PCT,SE(PCT),MEAN,SE(MEAN)
Albania,Never heard of it,90,770.8142,3.0929567701889145,0.360374278260017,381.35335437172796,10.069765028726929
Albania,Heard of it,2684,24150.7821,96.90704322981108,0.360374278260017,392.9123964591148,2.6471786287938865
Argentina,Never heard of it,540,49722.51069999999,14.994520436923379,0.6498821519948068,382.27475763003326,6.551787406161716
Argentina,Heard of it,3057,281882.03049999994,85.00547956307662,0.6498821519948087,397.9787893954676,3.3054991818269706
Australia,Never heard of it,1269,21756.3948,13.385037333317651,0.45300906020466325,485.1938357975332,3.823253522475192
Australia,Heard of it,7998,140786.2583,86.61496266668235,0.45300906020466364,512.1724318516259,1.7917031302681725
Austria,Never heard of it,1228,21358.759199999997,41.075221457440676,0.9778043776332074,520.0333219491746,3.7830481381083816
Austria,Heard of it,1813,30640.374199999995,58.92477854255933,0.9778043776332084,501.6619804964531,3.075347248712588
Belgium,Never heard of it,1911,25551.422899999998,34.54281745236699,0.785670045714117,527.3116204246107,3.040215045017332
Belgium,Heard of it,3523,48418.86899999999,65.45718254763302,0.7856700457141106,520.4828689462418,2.2503903082694183
Brazil,Never heard of it,1429,182260.93299999996,12.732978119299016,0.5195874350875493,382.8909941858123,3.0305095918812914
Brazil,Heard of it,10127,1249147.5818999999,87.267021880701,0.5195874350875481,395.65216724284596,2.1242261122462027
Bulgaria,Never heard of it,527,5531.907,16.30117148104656,0.7698693075740104,444.08673430951296,7.484203168683167
Bulgaria,Heard of it,2786,28403.7338,83.69882851895345,0.7698693075740097,443.5834667143792,3.8186408705163326
Canada,Never heard of it,1788,31172.082699999995,13.984666245347338,0.4801869296422089,519.7679319283662,4.441497830349191
Canada,Heard of it,12029,191729.78819999998,86.01533375465266,0.48018692964221016,520.5043776811473,1.8210442359330512
Chile,Never heard of it,504,17206.742,11.597382223654884,0.5424450504575782,415.84638268610024,5.417384250376732
Chile,Heard of it,3932,131160.7229,88.40261777634511,0.5424450504575761,423.8791816971058,3.206077003766059
Shanghai-China,Never heard of it,1232,20260.191099999996,36.06331950016661,0.9853500848320871,620.3429095431171,4.122501783918716
Shanghai-China,Heard of it,2190,35919.3048,63.9366804998334,0.9853500848320897,609.3565320652244,3.7245994004573384
Chinese Taipei,Never heard of it,2459,118589.85599999999,61.332293440337395,0.9347001457477964,577.3574398334534,3.8827645173015375
Chinese Taipei,Heard of it,1538,74766.4484,38.66770655966261,0.9347001457477964,534.1029855758709,4.197224220858506
Colombia,Never heard of it,561,32441.195799999994,9.828258667826379,0.5434995204519726,380.94527516181,4.952823743290762
Colombia,Heard of it,4899,297639.61399999994,90.17174133217362,0.5434995204519724,384.62570127424294,2.9041872042979233
Costa Rica,Never heard of it,539,4724.7152,18.984983443554068,0.8789561265982909,407.1874537957175,5.270886927771313
Costa Rica,Heard of it,2300,20161.8759,81.01501655644594,0.8789561265982934,410.21214940951114,2.8889542463787383
Croatia,Never heard of it,312,2860.9139999999998,9.575886693096127,0.5048501007564751,484.2826897833155,7.688378095346778
Croatia,Heard of it,2969,27015.3167,90.42411330690388,0.5048501007564752,470.67585119170917,3.462021148990314
Czech Republic,Never heard of it,892,12976.757699999998,24.837515792678165,0.8898980596704819,505.68251707412287,5.230722554386839
Czech Republic,Heard of it,2563,39269.84299999999,75.16248420732184,0.889898059670482,506.26957161066804,3.104124241094493
Denmark,Never heard of it,751,6573.158399999999,15.884347799502835,0.9709850150718464,481.5140583821358,4.674147825570174
Denmark,Heard of it,3974,34808.196899999995,84.11565220049717,0.9709850150718464,507.8094785594099,2.16607619995997
Estonia,Never heard of it,568,1403.2848000000001,18.429989780720675,0.8655548873141408,511.5191223384147,4.4730517712048465
Estonia,Heard of it,2552,6210.8529,81.57001021927933,0.8655548873141384,524.5448330408772,2.328731984684384
Finland,Never heard of it,1907,12889.0602,33.25914197589454,0.7195017901894896,518.3555835097904,2.6519694727524876
Finland,Heard of it,3777,25864.3755,66.74085802410545,0.7195017901894901,522.7701154993144,1.9117148949228777
France,Never heard of it,738,110782.07169999999,25.22602999643225,0.8675171581078455,515.7771630691853,4.706396420992843
France,Heard of it,2161,328375.7018999999,74.77397000356775,0.867517158107845,494.2085102838216,2.7646791359513334
Germany,Never heard of it,991,149418.71589999998,36.36852923875871,0.9655278207909229,536.8767097309561,4.195836435257846
Germany,Heard of it,1713,261427.47179999997,63.631470761241296,0.9655278207909201,517.1667507139867,3.2106996668345102
Greece,Never heard of it,885,16820.431699999997,26.67473048552772,0.8830916675738589,454.2799735870029,4.693819517891632
Greece,Heard of it,2453,46237.11899999999,73.32526951447227,0.8830916675738574,452.5029929106239,2.701001596355678
Hong Kong-China,Never heard of it,1671,25244.889399999996,55.098164483200904,1.0622083047959827,559.3611282535846,3.752885782489733
Hong Kong-China,Heard of it,1361,20573.1331,44.901835516799096,1.0622083047959832,566.9290153602832,4.470428109556778
Hungary,Never heard of it,842,16144.263399999998,27.24737727175774,0.9139575727368223,500.23603620799884,5.586609671917198
Hungary,Heard of it,2286,43106.442599999995,72.75262272824227,0.9139575727368242,470.95074145144696,3.1804111878473655
Iceland,Never heard of it,1600,1894.9325000000001,72.66587458681076,0.9132736431929203,502.9428769899027,2.39300798248827
Iceland,Heard of it,597,712.8012,27.334125413189238,0.9132736431929191,483.9345402330441,3.657508637213267
Indonesia,Never heard of it,632,295326.4751999999,17.4489729516518,0.7972310938136299,392.5706406722466,5.690473406698465
Indonesia,Heard of it,2970,1397188.4711999998,82.55102704834819,0.7972310938136313,373.7168205878157,4.051636031304314
Ireland,Never heard of it,580,6214.104899999999,17.551122585760133,0.6735885310656489,476.14658608670146,4.449005582560389
Ireland,Heard of it,2707,29191.635499999997,82.44887741423987,0.6735885310656532,509.1490528295865,2.4178982614553464
Israel,Never heard of it,1270,27053.482599999996,40.63984008669686,0.9744312480387273,467.21367414989055,5.77576796426794
Israel,Heard of it,1848,39515.3881,59.360159913303136,0.9744312480387269,474.21893162240065,4.752766620433599
Italy,Never heard of it,2278,32102.1432,9.478380355655808,0.3034580707788189,480.2247702592736,3.681881116779021
Italy,Heard of it,17898,306585.9237,90.5216196443442,0.30345807077882,487.33471956412137,2.0482579097881306
Japan,Never heard of it,1809,320504.96349999995,43.48053858868563,0.8589440787328394,545.213630610195,4.190575378743871
Japan,Heard of it,2336,416617.8365,56.519461411314374,0.8589440787328392,534.4496173241192,3.678636683387934
Jordan,Never heard of it,438,6874.509099999999,9.849287814335549,0.4731570242332953,356.61281325787786,4.675220719619676
Jordan,Heard of it,3959,62922.507999999994,90.15071218566445,0.47315702423329653,392.79258468810764,3.0955075398679126
Kazakhstan,Never heard of it,513,19260.038999999997,14.154945708797296,0.9784353129295817,431.5314561219083,5.254991798204994
Kazakhstan,Heard of it,3270,116805.75309999999,85.8450542912027,0.9784353129295795,433.981913611465,3.1318492407972065
Korea,Never heard of it,2082,249444.99759999997,62.81041961823121,1.0062487820686072,567.3219240763132,4.252449634106605
Korea,Heard of it,1228,147694.52019999997,37.1895803817688,1.0062487820686083,530.6300449658763,6.5856251112337265
Latvia,Never heard of it,954,3641.5963,34.41000687407107,1.4609277520324073,506.1403503735776,3.4656124936701103
Latvia,Heard of it,1869,6941.3609,65.58999312592891,1.4609277520324093,485.9192324679274,3.2773523170873826
Liechtenstein,Never heard of it,81,86.4186,41.30854907704346,3.368884737566706,551.4660250196602,10.116773261823461
Liechtenstein,Heard of it,114,122.7841,58.691450922956534,3.368884737566704,522.9473052733207,8.079667993226092
Lithuania,Never heard of it,557,3954.1104,18.509314622726873,0.7459479932056234,467.1476915998328,4.648502451004101
Lithuania,Heard of it,2430,17408.7033,81.49068537727312,0.7459479932056218,483.74843768799826,2.7263466657767252
Luxembourg,Never heard of it,617,648.3586,18.18094634615496,0.6506913444363194,473.0702659638638,5.176342227515415
Luxembourg,Heard of it,2778,2917.7847,81.81905365384505,0.6506913444363206,498.4436104110977,1.666928509939544
Macao-China,Never heard of it,859,864.8311,24.49469402205661,0.7112059459152654,514.3675121699026,2.8999701959979793
Macao-China,Heard of it,2652,2665.8564,75.5053059779434,0.7112059459152634,546.4981722485473,1.7521790873898182
Malaysia,Never heard of it,368,31227.937599999997,11.140868426492672,0.5806363883671126,405.5098942287488,6.032741576414401
Malaysia,Heard of it,3005,249072.811,88.85913157350733,0.5806363883671093,424.33144066458647,3.300132511079759
Mexico,Never heard of it,2464,94346.91159999999,11.049577192826806,0.31954563264144076,394.2082585452121,2.500325643214146
Mexico,Heard of it,19448,759503.9638999999,88.9504228071732,0.3195456326414352,417.6456988514711,1.4787034333281934
Montenegro,Never heard of it,451,759.8394,15.833211207773616,0.7607355572650808,414.5887546894513,4.713987182176944
Montenegro,Heard of it,2495,4039.1833,84.16678879222637,0.76073555726508,414.12256162149174,1.8621346429496242
Netherlands,Never heard of it,558,24666.8837,20.21083266245567,1.0854638639783305,537.3598110159792,6.96173521278035
Netherlands,Heard of it,2199,97380.95129999999,79.78916733754433,1.0854638639783316,527.8521487294223,4.191595380703908
New Zealand,Never heard of it,363,4546.6658,13.158148946174597,0.7744334574433296,469.06589407872866,5.792508692107427
New Zealand,Heard of it,2404,30007.326699999998,86.8418510538254,0.7744334574433304,508.98473093144236,3.009197820729804
Perm(Russian Federation),Never heard of it,188,2961.1286999999998,16.400670086413154,1.1874413225275768,498.85936751076576,9.633613396500168
Perm(Russian Federation),Heard of it,958,15093.7964,83.59932991358684,1.1874413225275806,482.78445728822896,5.1877654636130135
Peru,Never heard of it,176,12372.684199999998,4.849151803834629,0.4036264840831003,333.82719209752565,8.083879073281642
Peru,Heard of it,3492,242778.82889999996,95.15084819616537,0.4036264840831,377.44135074859565,3.7065563930316503
Poland,Never heard of it,290,23800.566399999996,9.547974467104613,0.6019000564613192,512.4925341612035,7.083994946904518
Poland,Heard of it,2739,225472.89449999997,90.45202553289539,0.6019000564613196,518.5703691322032,3.6861028256539146
Portugal,Never heard of it,617,10306.668399999999,17.00118219009106,0.6385748040437847,506.11169809284354,6.67112830740151
Portugal,Heard of it,3009,50316.577,82.99881780990893,0.6385748040437814,487.1364549117065,3.959446820584622
Qatar,Never heard of it,761,763.2132,11.779825714998127,0.4049832675459809,346.0047920380217,4.4033198562169344
Qatar,Heard of it,5696,5715.7723000000005,88.22017428500187,0.4049832675459807,389.5985314798753,1.212160777221469
Romania,Never heard of it,256,7179.082799999999,7.839737417275658,0.533620462868594,436.7128973775263,9.204775989559181
Romania,Heard of it,3054,84393.91789999999,92.16026258272434,0.5336204628685897,446.38678644429916,3.6808202678226847
Russian Federation,Never heard of it,541,118572.56209999998,15.536838746532206,0.5690954972903864,492.5602384420526,4.881250131611596
Russian Federation,Heard of it,2844,644597.8873999999,84.46316125346779,0.5690954972903864,482.25778864010397,3.3683506945097768
Serbia,Never heard of it,337,4917.5867,11.342196535684886,0.6357240439389641,451.9116545528405,5.2216912060068035
Serbia,Heard of it,2656,38438.9773,88.65780346431511,0.6357240439389635,451.9599773384312,3.417632770176238
Singapore,Never heard of it,475,4283.0334,12.702693087844755,0.5210479341563725,536.3063211607101,6.044220497411612
Singapore,Heard of it,3183,29434.4891,87.29730691215525,0.5210479341563725,579.5467267669145,2.0577083968561114
Slovak Republic,Never heard of it,751,8733.1636,25.1708513386238,0.9974142686260684,491.01684159032555,5.666155867000899
Slovak Republic,Heard of it,2238,25962.3796,74.8291486613762,0.9974142686260694,485.47849384941213,3.848714062006747
Slovenia,Never heard of it,417,1336.988,11.2181712578878,0.6802421829861751,519.8302241793746,7.896470359575257
Slovenia,Heard of it,3336,10581.0686,88.7818287421122,0.6802421829861747,501.18080261213817,1.7636562153242634
Spain,Never heard of it,10069,156118.0582,64.9254296568708,0.6073355334542624,490.94306407418844,2.1631886305876344
Spain,Heard of it,6277,84339.4313,35.074570343129196,0.607335533454261,478.450658924519,2.926033471455154
Sweden,Never heard of it,1433,28810.1609,47.82644092347412,0.9450199040848307,488.40486000072326,2.552434815143351
Sweden,Heard of it,1568,31428.820599999995,52.17355907652589,0.9450199040848292,475.8167627292151,2.6728201039319552
