country,st62q13,N,WTD_N,PCT,SE(PCT),MEAN,SE(MEAN)
Albania,Never heard of it,456,4078.7590999999998,16.42438039855293,0.9240656721857239,396.95154084670867,6.248709840114691
Albania,Heard of it once or twice,345,3083.9667999999997,12.41854265423717,0.7636035200956698,391.149196011917,6.973492145711895
Albania,Heard of it a few times,434,3835.1238,15.44330778612148,0.7262420154912523,394.83201287504914,5.310130625692135
Albania,Heard of it often,587,5435.6902,21.888481615275165,0.8698099605532583,384.9515951175642,4.963852828960471
Albania,"Know it well, understand the concept",942,8400.0246,33.82528754581325,1.1293016629342167,393.98549193054635,3.9517627500461248
Argentina,Never heard of it,2356,211180.99079999997,63.49777640282427,1.033429278124886,398.0368643692467,3.459312288229673
Argentina,Heard of it once or twice,524,51639.58939999999,15.526961441147167,0.7023466333010308,396.6549833419045,7.008803960019686
Argentina,Heard of it a few times,340,30618.610899999996,9.20638595987342,0.6728172160273624,394.6208875280172,5.20167988080808
Argentina,Heard of it often,221,20424.338299999996,6.141178056017719,0.514142345211031,383.8450436978925,6.666056618448843
Argentina,"Know it well, understand the concept",174,18716.606099999997,5.627698140137416,0.5024960904708523,386.41876778203914,6.34547406386527
Australia,Never heard of it,5331,93998.20629999999,57.92191490694862,0.6156430602771884,507.9976522206152,2.2876519461209512
Australia,Heard of it once or twice,1774,31248.727099999996,19.255538837198635,0.4905667578393453,505.4355357369646,2.7515317100988215
Australia,Heard of it a few times,1232,21390.035099999997,13.180589733432438,0.3624593864232621,514.3267973988901,3.3795861855934612
Australia,Heard of it often,652,11150.1274,6.8707346223524315,0.30642494649750335,507.2065125705008,5.429570529610454
Australia,"Know it well, understand the concept",257,4497.259599999999,2.771221900067872,0.1967682756359057,512.8993219768222,7.733598673515567
Austria,Never heard of it,1270,21998.472999999998,42.18884847975711,1.1179991892443184,519.0294302534837,3.3354060982476286
Austria,Heard of it once or twice,669,11199.357499999998,21.47821790349409,0.8193550256389412,520.165775146952,4.827362846549836
Austria,Heard of it a few times,478,8119.910099999999,15.572428908049634,0.6557863626221732,500.655114954227,5.470297965820618
Austria,Heard of it often,317,5346.711299999999,10.253965941213517,0.620574908399735,481.45564501978333,4.966938862571272
Austria,"Know it well, understand the concept",319,5478.409999999999,10.50653876748564,0.6848045256869556,486.69396287708634,6.1160876600968574
Belgium,Never heard of it,2965,41430.08439999999,55.890143668997716,0.7319377993790922,528.7305443455729,2.574718386236515
Belgium,Heard of it once or twice,869,11180.130799999999,15.082255460000619,0.45587298475470844,537.3149420464769,4.045980246568221
Belgium,Heard of it a few times,653,8880.791399999998,11.98039334045864,0.47968456234552226,516.8261267301131,4.436785225799454
Belgium,Heard of it often,485,6419.4376999999995,8.659970176821082,0.40088884349470716,499.7456603418161,5.840077476642066
Belgium,"Know it well, understand the concept",468,6217.267099999999,8.387237353721945,0.3745087774638362,488.05862771429037,5.214752572137875
Brazil,Never heard of it,5879,733182.8941999999,51.311235140518065,0.7347555540513765,394.9766552255425,2.253786562484832
Brazil,Heard of it once or twice,2228,275338.72069999995,19.269366419878935,0.4477915187968368,392.5692992247805,2.841147064901276
Brazil,Heard of it a few times,1916,232776.92619999996,16.290712303875814,0.5641424343862793,392.75960979328676,3.5800277949246193
Brazil,Heard of it often,1043,125932.17529999997,8.813265434439591,0.44740840364808665,392.59569195054416,3.6903810658061382
Brazil,"Know it well, understand the concept",480,61662.76509999999,4.315420701287593,0.26333699826039236,402.60589524770586,6.929033038902356
Bulgaria,Never heard of it,1381,14083.3701,41.74957200920898,1.2890702797466629,461.52457549845167,4.482972721647985
Bulgaria,Heard of it once or twice,642,6527.896,19.35167947625173,0.7812965554148038,429.01900544216784,5.005818703892112
Bulgaria,Heard of it a few times,471,4884.5889,14.480163097888967,0.6289093172615273,428.5215863651523,5.537875923606933
Bulgaria,Heard of it often,388,3988.9941,11.825209111153002,0.681208527309349,417.20631923062166,5.269776529800406
Bulgaria,"Know it well, understand the concept",415,4248.1197,12.593376305497308,0.6640663286875692,455.3330012235332,5.8306343059273456
Canada,Never heard of it,7181,117994.3096,52.58846732919042,0.552073576192535,523.8835508817162,2.108357173244236
Canada,Heard of it once or twice,2665,43271.4914,19.285518254977312,0.5126854355776927,521.3864138582536,3.066566568898755
