country,st62q11,N,WTD_N,PCT,SE(PCT),MEAN,SE(MEAN)
Albania,Never heard of it,577,5191.0486,41.34087453057722,1.3008850404484473,0.0391170585457435,0.04429410777312206
Albania,Heard of it,824,7365.648999999999,58.65912546942279,1.3008850404484484,0.13807555220184944,0.03322801568400597
Argentina,Never heard of it,1125,104908.34909999999,63.379834113291125,1.5737815964399615,0.5163695629159413,0.030855356322103244
Argentina,Heard of it,666,60614.88169999999,36.620165886708875,1.5737815964399622,0.3803256022357294,0.04530798487108649
Australia,Never heard of it,2899,50973.77449999999,64.28957008603437,0.7819017950586433,0.04362197904336078,0.02141798049508881
Australia,Heard of it,1626,28314.007999999998,35.710429913965626,0.7819017950586442,-0.12782956683490407,0.026946770021629887
Austria,Never heard of it,1151,19677.610699999997,75.1314231244808,1.26666290021078,-0.24628186027686705,0.04307006010341649
Austria,Heard of it,379,6513.308999999999,24.86857687551919,1.266662900210779,-0.5224087817728292,0.0634431955854396
Belgium,Never heard of it,1791,24103.025899999997,65.27859112620582,0.9685965283168387,0.055158376567151314,0.027039118974657685
Belgium,Heard of it,919,12820.298399999998,34.721408873794175,0.9685965283168398,-0.1308500624291236,0.04315317462249223
Brazil,Never heard of it,2462,311372.6883999999,44.26253224987421,1.0637845764534117,0.5684495770695871,0.01933449063937822
Brazil,Heard of it,3251,392095.17159999994,55.73746775012579,1.0637845764534093,0.45451799723718017,0.017699889465767605
Bulgaria,Never heard of it,825,8413.2731,50.044552065059214,1.4649709485247149,0.2111858956533812,0.03684697146201982
Bulgaria,Heard of it,824,8398.2933,49.955447934940786,1.4649709485247175,0.1699884761109734,0.03863484658637462
Canada,Never heard of it,4027,66001.45129999999,59.9309733677859,0.8182506561962695,0.005908080493981484,0.024290549884210567
Canada,Heard of it,2819,44127.664899999996,40.06902663221409,0.8182506561962692,-0.12495101196709887,0.03073982514805003
Chile,Never heard of it,1037,34747.295699999995,47.637492169826096,1.2954522923591445,0.41684137588871445,0.02923736413929568
Chile,Heard of it,1163,38193.7726,52.36250783017392,1.295452292359148,0.3492930519516167,0.027748140463867418
Shanghai-China,Never heard of it,1283,21027.058599999997,74.26229015315114,1.0521755778965791,0.03958561707722665,0.02808964476549351
