country,st62q04,N,WTD_N,PCT,SE(PCT),MEAN,SE(MEAN)
Albania,Never heard of it,67,553.646,4.632891587227322,0.6692464864108922,0.2608055616765948,0.1329110514996056
Albania,Heard of it,1261,11396.6876,95.36710841277267,0.6692464864108897,-0.006633972839617054,0.037603973267282785
Argentina,Never heard of it,282,26845.650199999996,17.074015384381852,1.0762860301101327,-0.5861259555933581,0.0862282735286434
Argentina,Heard of it,1437,130385.37949999998,82.92598461561815,1.0762860301101327,-0.36878269975814176,0.024106590483368037
Australia,Never heard of it,698,12062.012099999998,14.718250612206987,0.6363203195780611,-0.2508834915693712,0.04266993678964819
Australia,Heard of it,3963,69890.74449999999,85.28174938779301,0.6363203195780591,0.13799297122954496,0.02288094639497036
Austria,Never heard of it,635,11121.401399999999,43.15084133731663,1.408261005923846,-0.03143837610249372,0.04734116668661342
Austria,Heard of it,877,14651.911599999998,56.84915866268337,1.4082610059238478,0.005191161540996427,0.03289468510390234
Belgium,Never heard of it,1002,13352.457299999998,36.24857912716715,1.0962844781608547,-0.1790141447597061,0.03447950558176492
Belgium,Heard of it,1705,23483.351499999997,63.751420872832846,1.096284478160854,-0.054263805317567373,0.027005526896613827
Brazil,Never heard of it,733,94449.13119999999,13.347496908769008,0.7566560117692382,-0.7208130763938687,0.046183038574725166
Brazil,Heard of it,4912,613167.6739999999,86.652503091231,0.7566560117692364,-0.4695681882407933,0.01977981027477844
Bulgaria,Never heard of it,268,2786.8949000000002,16.74063700267696,1.0267386462333015,-0.2639113452035815,0.0833993670160428
Bulgaria,Heard of it,1350,13860.5893,83.25936299732305,1.0267386462333037,-0.14827259234930112,0.036862565754900795
Canada,Never heard of it,945,16225.142799999998,14.557534941089347,0.6457404280764556,-0.13611633205471668,0.06167515521670908
Canada,Heard of it,5950,95230.1473,85.44246505891064,0.6457404280764573,0.138091489731424,0.021773820463441913
Chile,Never heard of it,261,8741.9913,11.765142014940578,0.8330061079052968,-0.48351908769344143,0.054689190391116624
Chile,Heard of it,1953,65562.18019999999,88.23485798505943,0.8330061079052964,-0.2327086328803928,0.02388889019928264
Shanghai-China,Never heard of it,628,10293.812999999998,36.8396352603715,1.1844252519921636,1.0106429523248581,0.050644949677620746
Shanghai-China,Heard of it,1073,17648.4099,63.160364739628506,1.1844252519921619,0.9417999600632609,0.037994622008838276
Chinese Taipei,Never heard of it,1246,60020.41329999999,62.17324529257743,1.3395769207996633,0.23700257129019145,0.04039922282900238
Chinese Taipei,Heard of it,748,36516.9526,37.82675470742257,1.3395769207996655,0.12312040156384815,0.046480417942515784
Colombia,Never heard of it,306,16601.433699999998,10.742374783256688,0.8660539573910662,-0.4839838014110792,0.06930177300847776
Colombia,Heard of it,2299,137940.12749999997,89.25762521674332,0.8660539573910688,-0.5093402314420813,0.027362844307091724
Costa Rica,Never heard of it,290,2511.5879,20.70382598177318,1.4491769558110057,-0.5286120449935275,0.05942290223021233
Costa Rica,Heard of it,1093,9619.4448,79.29617401822682,1.449176955811005,-0.32623755790978787,0.030751875499614667
Croatia,Never heard of it,157,1470.4275,9.922289225812747,0.7918277492492274,0.061403247014898736,0.11295252254008854
Croatia,Heard of it,1475,13349.0105,90.07771077418725,0.7918277492492268,0.05788248177645819,0.03272236267611621
Czech Republic,Never heard of it,437,6493.744199999999,24.77048482684337,1.5019850850558571,-0.09602649069546049,0.06356314255474163
Czech Republic,Heard of it,1295,19721.908199999998,75.22951517315663,1.5019850850558563,0.09612175747780816,0.029373273828132058
Denmark,Never heard of it,397,3431.0604,16.68742766284307,1.2543164489765983,-0.3999568051906056,0.04699484656297075
Denmark,Heard of it,1948,17129.6903,83.31257233715694,1.2543164489765974,-0.024102410012631685,0.02759780828750651
Estonia,Never heard of it,268,671.6431,17.955166612505213,1.1223101928598054,-0.23335615299256435,0.05608449714139836
Estonia,Heard of it,1269,3069.0245,82.0448333874948,1.122310192859806,-0.006075754364293948,0.022829095348522795
Finland,Never heard of it,988,6620.1528,34.2345105097961,1.1626083757283638,-0.4678970905324123,0.045385264849097516
Finland,Heard of it,1850,12717.5059,65.7654894902039,1.1626083757283616,-0.19853035798473653,0.023902320196010084
France,Never heard of it,357,53621.89789999999,24.93902386126042,1.140311333732521,0.10454158072610834,0.049430062746442884
France,Heard of it,1063,161390.11779999998,75.06097613873959,1.1403113337325224,0.010645524722456109,0.03189614744266232
Germany,Never heard of it,497,75638.093,36.21305567518597,1.3411479173703529,0.25852750206169295,0.04586801765778574
Germany,Heard of it,867,133231.5856,63.78694432481403,1.3411479173703502,0.37837508761886346,0.03557170689111804
Greece,Never heard of it,447,8501.023,27.211662977465284,1.235277320377726,-0.2921288146144293,0.06003679687283197
Greece,Heard of it,1206,22739.342599999996,72.7883370225347,1.2352773203777232,-0.13409413674078752,0.03717926420633439
Hong Kong-China,Never heard of it,833,12594.823099999998,54.2249090696423,1.3764476670151755,0.10521721436484494,0.04267387861613138
Hong Kong-China,Heard of it,701,10632.183299999999,45.775090930357685,1.3764476670151728,0.3719361506869428,0.04831646331761887
Hungary,Never heard of it,434,8274.7907,27.820755273029697,1.1526409186806332,0.17548602975541147,0.06293828661837494
Hungary,Heard of it,1128,21468.4374,72.17924472697031,1.1526409186806341,0.09269035067265795,0.03732251084841283
Iceland,Never heard of it,766,907.8354,71.91077898009017,1.3119715572052693,0.011684358199735312,0.04012835086740474
Iceland,Heard of it,296,354.61150000000004,28.08922101990983,1.3119715572052664,0.19385745527147302,0.07571942495677177
Indonesia,Never heard of it,293,138653.23689999996,16.512143456767543,0.9791366848264849,-0.3319947733870756,0.056881752760624404
Indonesia,Heard of it,1490,701051.4159999999,83.48785654323245,0.9791366848264853,-0.2962012580729172,0.01961093220740028
Ireland,Never heard of it,337,3664.9613999999997,20.75490960009059,0.958444201501385,-0.37337930898808375,0.04311937492849719
Ireland,Heard of it,1286,13993.3251,79.24509039990943,0.9584442015013872,0.0985981915048912,0.03043333305553477
Israel,Never heard of it,611,12741.531099999998,39.10310736749817,1.268625060664327,0.024247312318689825,0.0500849715436985
Israel,Heard of it,925,19842.915399999998,60.89689263250183,1.2686250606643266,0.2332725854387311,0.03577289791345846
Italy,Never heard of it,1140,16117.189699999999,9.539402805705341,0.40655899040764165,-0.2154167497947861,0.03603807896154864
Italy,Heard of it,8887,152836.67489999998,90.46059719429466,0.40655899040763965,-0.1208385444271391,0.016092567823603708
Japan,Never heard of it,934,165046.19079999998,44.85222244092326,1.0868479932792143,-0.41197968574382926,0.048661464237641804
Japan,Heard of it,1131,202931.541,55.14777755907675,1.0868479932792177,-0.3669249222918972,0.038055666721320824
Jordan,Never heard of it,248,4072.7711999999997,11.81459983892486,0.6709385449751165,-0.1412553236479376,0.0802184510292745
